name,code,lead_broker,cap_raise_price,raise_amt,due_date,0 days effective_return,0 days normal_return,30 days effective_return,30 days normal_return,60 days effective_return,60 days normal_return,90 days effective_return,90 days normal_return
American West Metals Limited,AW1,RM Capital + Ord Minnett Limited,0.14,7.7M,11/07/2023 17:00,,10.71,,135.71,N/A,N/A,N/A,N/A
Altech Batteries Limited,ATC,,0.07,2m+,13/07/2023 17:00,,37.14,,8.57,N/A,N/A,N/A,N/A
Magnis Energy Technologies Limited,MNS,Evolution Capital,0.12,5M+,14/07/2023 15:00,,12.5,,-12.5,N/A,N/A,N/A,N/A
Antisense Therapeutics Limited,ANP,Morgans Corporate,0.05,7M,14/07/2023 16:00,,30.0,,2.0,N/A,N/A,N/A,N/A
Aston Minerals,ASO,Evolution Capital,0.06,7M-10.95M,21/07/2023 12:00,21.06,8.33,N/A,N/A,N/A,N/A,N/A,N/A
Greenstone Resources Limited,GSR,,0.013,1M,20/07/2023 15:00,36.37,23.08,N/A,N/A,N/A,N/A,N/A,N/A
Dotz Nano Limited,DTZ,Evolution Capital,0.2,3M-5M,24/07/2023 15:00,10.08,2.5,N/A,N/A,N/A,N/A,N/A,N/A
AnteoTech Limited,ADO,Canaccord Genuity,0.032,4M-5M,25/07/2023 12:00,13.3,3.13,N/A,N/A,N/A,N/A,N/A,N/A
Oneview Healthcare Plc,ONE,MST Financial Services +  Bell Potter,0.18,20M,24/07/2023 16:00,,11.11,N/A,N/A,N/A,N/A,N/A,N/A
Panoramic Resources Limited - Tranche 2,PAN,Canaccord Genuity +  Morgans Corporate,0.05,40M,26/07/2023 17:00,29.47,10.0,N/A,N/A,N/A,N/A,N/A,N/A
Narryer Metals Limited,NYM,Morgans Corporate,0.12,1.4M,27/07/2023 16:00,,12.5,N/A,N/A,N/A,N/A,N/A,N/A
Hazer Group Limited,HZR,Viriathus Capital,0.48,15M,28/07/2023 16:00,41.0,25.0,N/A,N/A,N/A,N/A,N/A,N/A
Kincora Copper Limited,KCC,Bridge Street + Morgans Corporate,0.05,1.5M,28/07/2023 10:00,74.08,40.0,N/A,N/A,N/A,N/A,N/A,N/A
Centaurus Metals Limited,CTM,Argonaut Securities + SCP Resource,0.73,35M,28/07/2023 16:00,,15.75,N/A,N/A,N/A,N/A,N/A,N/A
Tambourah Metals Limited,TMB,Bell Potter,0.235,2M+,31/07/2023 16:00,56.62,11.7,N/A,N/A,N/A,N/A,N/A,N/A
South Harz Potash Limited,SHP,Morgans Corporate,0.03,2.25M,31/07/2023 16:00,4.83,3.33,N/A,N/A,N/A,N/A,N/A,N/A
Strandline Resources Limited,STA,Shaw and Partners + Morgans Corporate +  Barrenjoey Markets,0.18,30M,31/07/2023 18:00,,-5.56,N/A,N/A,N/A,N/A,N/A,N/A
