name,code,lead_broker,cap_raise_price,raise_amt,due_date,0 days effective_return,0 days normal_return,30 days effective_return,30 days normal_return,60 days effective_return,60 days normal_return,90 days effective_return,90 days normal_return
Sunstone Metals Limited,STM,,0.026,10M,11/05/2023 16:00,,11.54,,-23.08,,-3.85,,-7.69
Adveritas Limited,AV1,MST Financial Services,0.048,5M,12/05/2023 12:00,,0.0,,-2.08,,-12.5,,-6.25
Pancontinental Energy NL,PCL,Euroz Hartleys,0.01,3.5-5M,11/05/2023 15:00,31.55,10.0,0.04,-10.0,89.77,40.0,210.15,80.0
Tempus Resources Ltd,TMR,Peloton Capital + Aesir Corporate,0.04,1.4M,12/05/2023 11:30,20.69,10.0,-8.4,-12.5,-14.46,-17.5,-44.54,-45.0
Butn Limited,BTN,Canaccord Genuity,0.2,2M,16/05/2023 12:15,N/A,N/A,,0.0,,-5.0,,-20.0
Burley Minerals Limited,BUR,Canaccord Genuity,0.21,4.33M,15/05/2023 15:00,,9.52,,-4.76,,-11.9,,-35.71
Comet Resources Limited,CRL,Shaw and Partners + Aitken Mount +  Peloton Capital,0.2,27M,18/05/2023 16:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Commonwealth Bank of Australia,CBA,ANZ Securities,100,750M,05/06/2023 09:00,,-2.5,,1.78,,1.87,N/A,N/A
Appen Limited,APX,Barrenjoey Markets,1.85,59.5M,16/05/2023 17:00,,24.86,,41.08,,22.7,,15.68
Sky Metals Limited,SKY,Blue Ocean,0.045,3-4.2M,18/05/2023 17:00,,15.56,,-13.33,,11.11,,-4.44
Creso Pharma Limited,CPH,EverBlu Capital,0.0122,3M,18/05/2023 16:00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Widgie Nickel Limited,WIN,Petra Capital,0.26,10M,18/05/2023 16:00,,0.0,,-15.38,,-7.69,,-15.38
Lithium Plus Minerals Limited,LPM,Canaccord Genuity,0.3,2.5M,13/05/2023 12:30,,5.0,,-15.0,,0.0,,-8.33
Impedimed Limited,IPD,Canaccord Genuity + Wilsons Corporate + Jarden Australia,0.13,20M,18/05/2023 14:15,,3.85,,19.23,,38.46,,57.69
Galan Lithium,GLN,Canaccord Genuity,1.05,25M,18/05/2023 17:00,,14.29,,-12.38,,-16.19,,-29.05
Alma Metals Limited,ALM,Barclay Pearce,0.01,2M,22/05/2023 12:00,,30.0,,30.0,,30.0,N/A,N/A
Superior Resources Limited,SPQ,Whairo Capital,0.03,4M,23/05/2023 12:00,11.12,6.67,-4.54,-6.67,-4.79,-6.67,N/A,N/A
Kalgoorlie Mining Limited,KAL,Palomar Advisory,0.032,680K,23/05/2023 12:00,45.55,18.75,7.22,-3.13,15.88,3.13,N/A,N/A
Moho Resources Limited,MOH,EverBlu Capital,0.015,600K,24/05/2023 16:00,22.08,13.33,-25.46,-26.67,-18.34,-20.0,N/A,N/A
