key,name,cap,document_date,url,header,cash_flow,dollar_sign,average volume,EMA traded dollar amount,points
BCA,BLACK CANYON LIMITED,11894636,2023-04-28T08:55:44+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3hczg1wx2vc.pdf,Quarterly Activity and Cashflow Report,1744000.0,$A,58278,9685.065336085643,2
BAS,BASS OIL LIMITED,21471555,2023-04-21T09:14:42+1000,https://announcements.asx.com.au/asxpdf/20230421/pdf/45nw2wdjwn9v63.pdf,Quarterly Activities Report and Appendix 5B - March 2023,1743000.0,$USD,470261,48664.33845524758,5
IND,INDUSTRIAL MINERALS LTD,35877500,2023-04-27T22:03:03+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p2wf9qkzr2dw.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1743000.0,$A,61064,30456.873866583082,5
ZMI,ZINC OF IRELAND NL,4476030,2023-04-24T18:30:28+1000,https://announcements.asx.com.au/asxpdf/20230424/pdf/45nyp1w2n2ymnf.pdf,Quarterly Activities and Cashflow Report,1733000.0,$A,318241,5832.136752774324,2
1AE,AURORA ENERGY METALS LIMITED,12656725,2023-04-26T20:33:21+1000,https://announcements.asx.com.au/asxpdf/20230427/pdf/45p0wdnlnhzzc3.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1720000.0,$A,298538,20081.946532392743,4
GPR,GEOPACIFIC RESOURCES LTD,15602631,2023-04-27T22:53:18+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p2xqkk04h31t.pdf,Quarterly Activities Report and 5B Cashflow - March 2023,1708000.0,$A,385302,5576.25116946375,2
MM8,MEDALLION METALS LIMITED.,19142499,2023-04-28T00:05:22+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p2z6vwzq0tfx.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1703000.0,$A,153676,12213.149155853036,3
LEX,LEFROY EXPLORATION LIMITED,32893890,2023-04-26T16:51:19+1000,https://announcements.asx.com.au/asxpdf/20230426/pdf/45p0ftgysf4j2m.pdf,March 2023 Quarterly Cashflow Report,1700000.0,$A,76248,13656.635847235251,3
PXX,POLARX LIMITED,16246922,2023-04-28T17:13:17+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p5jx4vv3gf8f.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1695000.0,$A,3530126,74787.26774663039,6
KZR,KALAMAZOO RESOURCES LIMITED,19982391,2023-04-28T18:51:00+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p5tv6mw04y1w.pdf,Quarterly Cashflow Report,1694000.0,$A,182671,23404.16613283954,4
IPB,IPB PETROLEUM LIMITED,3955857,2023-04-28T16:46:39+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p5cz3zq046sy.pdf,Mar 23 Qtr Act and App 5B cashflow Report,1685000.0,$A,717600,8565.053961138692,2
PHO,PHOSCO LTD,21404241,2023-04-26T09:40:10+1000,https://announcements.asx.com.au/asxpdf/20230426/pdf/45nzv9mnbhdfs7.pdf,March 2023 Quarterly Activities and Cashflow Report,1674000.0,$A,54949,4141.530598932119,2
JGH,JADE GAS HOLDINGS LIMITED,64617401,2023-04-28T17:09:59+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p5jv3knd4k26.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1673000.0,$A,209200,8684.802174058035,2
GTE,GREAT WESTERN EXPLORATION LIMITED.,12634906,2023-04-21T14:54:51+1000,https://announcements.asx.com.au/asxpdf/20230421/pdf/45nwj04npvf5v3.pdf,March 2023 Quarterly Cashflow Report,1664000.0,$A,152482,6433.414511446425,2
WMG,WESTERN MINES GROUP LTD,34030614,2023-04-28T13:56:42+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4q7290fgwkt.pdf,March 2023 Quarterly Activities Report & Cash Flow Report,1661000.0,$A,660352,514497.35079795343,10
8CO,8COMMON LIMITED,17208066,2023-04-28T09:02:59+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3k89nmsyqvm.pdf,Appendix 4C and Activity Report,1656000.0,$A,51945,3551.879245293224,1
NYM,NARRYER METALS LIMITED,4469700,2023-04-28T09:01:05+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p3kdbdd9vj6b.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1651000.0,$A,84285,8898.782944896315,2
FZR,FITZROY RIVER CORPORATION LTD,14573824,2023-04-14T09:39:39+1000,https://announcements.asx.com.au/asxpdf/20230414/pdf/45nn53gjzrm8fv.pdf,Quarterly Activities & Cashflow Report,1646000.0,$A,33886,6321.005647884702,2
SP3,SPECTUR LIMITED,5870407,2023-04-28T16:08:28+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p562mjgd8mr0.pdf,Quarterly Cashflow Report - 31 March 2023,1618000.0,$A,258108,4816.789725738635,2
KRR,KING RIVER RESOURCES LIMITED,13981725,2023-04-20T09:28:00+1000,https://announcements.asx.com.au/asxpdf/20230420/pdf/45nv08s6djwt3c.pdf,Quarterly Cash Flow Report,1615000.0,$A,1474444,14458.438233570836,3
SNX,SIERRA NEVADA GOLD INC.,8189890,2023-04-28T08:28:49+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p392rrpq659j.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1599000.0,US$,21564,3498.903087533394,1
AAR,ASTRAL RESOURCES NL,50308436,2023-04-28T14:43:12+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4w8j3sx93wp.pdf,Quarterly Activities & Cashflow Report,1599000.0,$A,205677,13935.481175128287,3
EMU,EMU NL,3625053,2023-04-28T17:01:54+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p5gr1s0k7d46.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,1593000.0,$A,6203458,15405.917993132909,3
AHF,AUSTRALIAN DAIRY NUTRITIONALS LIMITED,12358827,2023-04-28T14:30:19+1000,https://announcements.asx.com.au/asxpdf/20230428/pdf/45p4vkrhbp8dl0.pdf,Appendix 4C and Quarterly Activity Report - March Qtr 2023,1575000.0,$A,504948,14174.030300208788,3
