key,name,cap,document_date,url,header,cash,cash_unit,debt,debt_unit
NYM,NARRYER METALS LIMITED,8083500,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s29vc2g83hly.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,105",$A’000,-,$A’000
TSL,TITANIUM SANDS LIMITED,8086788,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s54zvrc8l4bq.pdf,Quarterly Activities Report and Appendix 5B,70,$A’000,250,$A’000
SPA,SPACETALK LTD,8092316,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2j6sg5tj6q0.pdf,Quarterly Activities Report and Appendix 4C,"3,026",$A’000,"5,000",$A’000
AYT,AUSTIN METALS LIMITED,8126997,2023-07-25,https://announcements.asx.com.au/asxpdf/20230725/pdf/05rxxctkwh7lz6.pdf,Quarterly Activities Report and Appendix 5B,940,$A’000,-,$A’000
BLZ,BLAZE MINERALS LIMITED,8171257,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1r8q0w1zxb1.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,258",$A’000,-,$A’000
GGX,GAS2GRID LIMITED,8178204,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s28xsj3fhz3m.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,671,$A’000,"1,434",$A’000
FG1,FLYNN GOLD LIMITED,8182955,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s0knjjcc8w2f.pdf,June 2023 Quarterly Activities Report and Appendix 5B,"3,760",$A’000,-,$A’000
DEL,DELOREAN CORPORATION LIMITED,8197395,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s595fl1nnvhw.pdf,June 2023 Quarterly Activities and Cash Flow Report,"1,004",$A’000,"5,001",$A’000
SRJ,SRJ TECHNOLOGIES GROUP PLC,8207264,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1lpm1vl0vdl.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,407,,777,GBP
AGR,AGUIA RESOURCES LIMITED,8243231,2023-07-13,https://announcements.asx.com.au/asxpdf/20230713/pdf/05rltlv9v0ctpl.pdf,Quarterly Appendix 5B Cash Flow Report,438,$A’000,-,$A’000
DCX,DISCOVEX RESOURCES LIMITED,8256420,2023-07-25,https://announcements.asx.com.au/asxpdf/20230725/pdf/05rxqlxgs205v0.pdf,Quarterly Cashflow Report,"1,823",$A’000,0,$A’000
SAU,SOUTHERN GOLD LIMITED,8266850,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1ygh75dqgz9.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"4,213",$A’000,Unused,$A’000
PVW,PVW RESOURCES LIMITED,8270943,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5p6pxy9db0c.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"3,766",$A’000,-,$A’000
GLA,GLADIATOR RESOURCES LIMITED,8271156,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1mzkqlt18jl.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,ASX,,Unused,$A'000
APC,AUSTRALIAN POTASH LIMITED,8309432,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5r8tr1xj67p.pdf,Quarterly Cashflow Report,"1,292",$A’000,-,$A’000
ODE,ODESSA MINERALS LIMITED,8346260,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rztcmhnmx5js.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"4,524",$A’000,-,$A’000
CMX,CHEMX MATERIALS LIMITED,8349457,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s52spgymwhyr.pdf,Appendix 5B,793,$A’000,-,$A’000
NTL,NEW TALISMAN GOLD MINES LIMITED,8389062,2023-07-29,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3l8twbwt1p4.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,914",$NZ’000,Nil,$NZ’000
SW1,SWIFT NETWORKS GROUP LIMITED,8397457,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1qhyz0bvd3z.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,6,,financing,Amount
INL,INNLANZ LIMITED,8458117,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s622qc80j1n3.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,865,$A’000,-,$A’000
R8R,REGENER8 RESOURCES NL,8466063,2023-07-18,https://announcements.asx.com.au/asxpdf/20230718/pdf/05rqnqrd4yn033.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,778",$A’000,-,$A’000
REZ,RESOURCES & ENERGY GROUP LIMITED,8496698,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s59gcq3xv24y.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,703,$A’000,-,$A’000
NIS,NICKELSEARCH LIMITED,8502728,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3ysdbk14ysl.pdf,Quarterly Cashflow Report - June 2023,"1,899",$A’000,Nil,$A’000
LYK,LYKOS METALS LIMITED,8505000,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s0sl02f20hj3.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,895",$A’000,-,$A’000
LML,LINCOLN MINERALS LIMITED,8524271,2023-07-24,https://announcements.asx.com.au/asxpdf/20230724/pdf/05rwtw73jmmnpx.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,162",$A’000,-,$A’000
RAS,RAGUSA MINERALS LTD,8555927,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3v9172gz7pw.pdf,Quarterly Cash Flow Report - June 2023,"1,891",$A’000,-,$A’000
AHN,ATHENA RESOURCES LIMITED,8563740,2023-08-01,https://announcements.asx.com.au/asxpdf/20230801/pdf/05s6xw5g04hp8h.pdf,Quarterly Appendix 5B Cash Flow Report,"1,436,016",$A’000,-,$A’000
MVL,MARVEL GOLD LIMITED,8637907,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4jh3r85z5dn.pdf,Quarterly Activities and Cashflow Report - June 2023,"2,185",$A’000,-,$A’000
DLM,DOMINION MINERALS LIMITED,8695244,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s435ypmc1djl.pdf,Quarterly activities report and quarterly cashflow report,"3,378",$A’000,-,$A’000
ACM,AUSTRALIAN CRITICAL MINERALS LIMITED,8706252,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3sc4dm8r7sq.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,3,$A’000,-,$A’000
GLH,GLOBAL HEALTH LIMITED,8707430,2023-07-24,https://announcements.asx.com.au/asxpdf/20230724/pdf/05rwx32wqsvyz6.pdf,Quarterly activities report and Appendix 4C - Jun23,"2,244",$A’000,75,$A’000
FTL,FIRETAIL RESOURCES LIMITED,8758750,2023-07-25,https://announcements.asx.com.au/asxpdf/20230725/pdf/05ryccfft00l8n.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"4,945",$A’000,-,$A’000
KOR,KORAB RESOURCES LIMITED,8809200,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s61x41qmccg2.pdf,Quarterly Activities/Appendix 5B Cash Flow - Correct header,112,$A’000,662,$A’000
14D,1414 DEGREES LIMITED,8835875,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5qc311mmmmb.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,949",$A’000,-,$A’000
OM1,OMNIA METALS GROUP LTD,8836676,2023-07-24,https://announcements.asx.com.au/asxpdf/20230724/pdf/05rxd2sxlln2jv.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"3,814",$A’000,Unused,$A’000
OLL,OPENLEARNING LIMITED,8839679,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4n1ndzk5k1q.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,314",$A’000,-,$A’000
CHK,COHIBA MINERALS LIMITED,8852977,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5j0dq49hrmv.pdf,CHK June 2023 Quarterly Activities Report & Appendix 5B,"1,799",$A’000,-,$A’000
INP,INCENTIAPAY LIMITED,8855445,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rzr9bknpswml.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,825",$A’000,"18,157",$A’000
T92,TERRA URANIUM LIMITED,8880774,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4m631ssf5lj.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,602",$A’000,-,$A’000
LPE,LOCALITY PLANNING ENERGY HOLDINGS LIMITED,8907814,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s16q6m48vl70.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,546",$A’000,"9,000",$A’000
BSN,BASIN ENERGY LIMITED,8935267,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s547wbghxk09.pdf,Quarterly Appendix 5B Cash Flow Report,"5,209",$A’000,Unused,$A’000
L1M,LIGHTNING MINERALS LTD,8964576,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rz985x8lj1kw.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"4,694",$A’000,-,$A’000
SUH,SOUTHERN HEMISPHERE MINING LIMITED,8975696,2023-07-14,https://announcements.asx.com.au/asxpdf/20230714/pdf/05rmxtdchrd29v.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,612,$A’000,-,$A’000
EDE,EDEN INNOVATIONS LTD,8990833,2023-07-19,https://announcements.asx.com.au/asxpdf/20230719/pdf/05rsbq58qwdw9x.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"2,618",,"10,297",
NVU,NANOVEU LIMITED,9081486,2023-08-01,https://announcements.asx.com.au/asxpdf/20230801/pdf/05s6m1hxgdz3pk.pdf,Quarterly Appendix 4C Cash Flow Report,"1,054",$A’000,-,$A’000
NC6,NANOLLOSE LIMITED,9082068,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rz2f7mpk45s0.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,544,$A’000,0,$A’000
TTI,TRAFFIC TECHNOLOGIES LTD.,9092042,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5bwtvhsqsp7.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,182",$A’000,"12,052",$A’000
SP8,STREAMPLAY STUDIO LIMITED,9104990,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5zmtsbb9s05.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"6,424*",$A’000,-,$A’000
ZNO,ZOONO GROUP LIMITED,9116528,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4m82j2pyd4l.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,826,$NZ’000,-,$NZ’000
RCL,READCLOUD LIMITED,9137797,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s50x6c70wvks.pdf,June 2023 Quarterly Report and Appendix 4C,"1,193",$A’000,-,$A’000
YAR,YARI MINERALS LIMITED,9164798,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s55qczfs17f2.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,829",$US’000,-,$A’000
NPM,NEWPEAK METALS LIMITED,9248616,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1p0l31z0xgt.pdf,Quarterly Activities Report and Cash flow,24,$A’000,200,$A’000
CAG,CAPE RANGE LTD,9301013,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s53c1lnsbdsd.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"2,133",$A’000,20,$A’000
DES,DESOTO RESOURCES LIMITED,9339750,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s0schml7mwt6.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"8,664",$A’000,-,$A’000
CLZ,CLASSIC MINERALS LTD,9350768,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1s7ksxg5pkc.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,17,$A’000,"7,756",$A’000
MBK,METAL BANK LIMITED,9400508,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1sl04s4924n.pdf,Quarterly Cash Flow Report,767,$A’000,Nil,$A’000
HYD,HYDRIX LIMITED,9406097,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5yqglykx4k8.pdf,Quarterly Activities/App 4C & Convertible Note Capital Raise,"1,153",$A’000,"2,675",$A’000
LHM,LAND & HOMES GROUP LIMITED,9444504,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5shg41kbq6p.pdf,Monthly Activities/Appendix 4C Cash Flow Report,859,Previous,Unused,Amount
JAV,JAVELIN MINERALS LIMITED,9454153,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5n3dxkbznmg.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,443,$A’000,-,$A’000
SIV,SIV CAPITAL LIMITED,9470568,2023-07-11,https://announcements.asx.com.au/asxpdf/20230711/pdf/05rjph886p1g7h.pdf,SIV Capital Limited - Appendix 4C,"7,756",$A’000,-,$A’000
A1G,AFRICAN GOLD LTD.,9481428,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5p0dsxhw6md.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,650,$A’000,-,$A’000
FRB,FIREBIRD METALS LIMITED,9499750,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3n6sw7xx37x.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,303",,Unused,$A
BCA,BLACK CANYON LIMITED,9521183,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s507nt46stck.pdf,Quarterly Activity and Cashflow Report,"1,183",$A’000,Unused,$A’000
UCM,USCOM LIMITED,9526678,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2498rtghktb.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"2,179",$A’000,Unused,$A’000
WML,WOOMERA MINING LIMITED,9561946,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2rb89878h6b.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,414",$A’000,-,$A’000
ENX,ENEGEX LIMITED,9591816,2023-07-29,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3n4s0j8gp00.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,578",$A’000,-,$A’000
BUY,BOUNTY OIL & GAS NL,9593507,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4k09pfsbk1c.pdf,Quarterly Activities Report & App 5B - QTR ended June 2023,"1,236",$A’000,-,$A’000
SIX,SPRINTEX LIMITED,9615089,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4hfh3zws2l0.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,293,$A’000,-,$A’000
PR1,PURE RESOURCES LIMITED,9750003,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s1705ccgq3by.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,541",$A’000,-,$A’000
FTC,FINTECH CHAIN LIMITED,9761544,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s26x0jv3gtt6.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"6,185,216",RMB,"17,860,000",RMB
CZN,CORAZON MINING LIMITED,9765289,2023-07-25,https://announcements.asx.com.au/asxpdf/20230726/pdf/05ryxbsbgmd8c5.pdf,Quarterly Appendix 5B Cash Flow Report,"2,491",$A’000,-,$A’000
1TT,THRIVE TRIBE TECHNOLOGIES LIMITED,9788510,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s60354vqw18t.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"5,137",,-,Amount
ELE,ELMORE LTD,9795687,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5g9h3p31ppx.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,094",$A’000,"3,811",$A’000
SSH,SSH GROUP LTD,9809978,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s46n8r0p7j5p.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"2,050",,"26,789",
HPC,THE HYDRATION PHARMACEUTICALS COMPANY LIMITED,9859088,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4g98fwlmrdg.pdf,Quarterly Activities Report and Appendix 4C,"1,739",$US’000,"4,388",$US’000
RAG,RAGNAR METALS LIMITED,9897695,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2t52v6c9qhb.pdf,Quarterly Cashflow Report,196,$A’000,-,$A’000
FIN,FIN RESOURCES LIMITED,9936566,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s0cfnlpgsnf7.pdf,Quarterly Activities Report & Appendix 5B,"2,270",$A’000,Unused,$A’000
LRL,LABYRINTH RESOURCES LIMITED,9941029,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s53j7pq1rfq0.pdf,Quarterly Activities / Appendix 5B Cash Flow Report,417,$A’000,76,$A’000
PL3,PATAGONIA LITHIUM LTD,9956050,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s25scs34l44f.pdf,Quarterly Activities and Cashflow Report 30 June 2023,"3,226",$A’000,-,$A’000
BME,BLACK MOUNTAIN ENERGY LTD,9963829,2023-07-18,https://announcements.asx.com.au/asxpdf/20230718/pdf/05rr48m7svgsc6.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,873,$A’000,-,$A’000
FRS,FORRESTANIA RESOURCES LIMITED,10135991,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4ljlh5jc92k.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,117",$A’000,-,$A’000
1AD,ADALTA LIMITED,10155105,2023-07-13,https://announcements.asx.com.au/asxpdf/20230713/pdf/05rljv8md5npsm.pdf,Quarterly Appendix 4C and Activities Report,"4,790",$A’000,"4,000",$A’000
SBR,SABRE RESOURCES LIMITED,10202017,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5x39ff7lv01.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"4,512",$A’000,-,$A’000
JNO,JUNO MINERALS LIMITED,10234350,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s0hwp2b1zpvs.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,606",$A’000,-,$A’000
X2M,X2M CONNECT LIMITED,10235991,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1xjz1hc13y7.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,785",$A’000,"1,947",$A’000
WHK,WHITEHAWK LIMITED,10262423,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4b7c9nx6p1m.pdf,Quarterly Activities Report and Appendix 4C - quarterly,311,$US’000,-,$US’000
OLY,OLYMPIO METALS LIMITED,10340815,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2lyzfkn18m0.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,732",$A’000,Unused,$A’000
AM7,ARCADIA MINERALS LIMITED,10345511,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s53l931wzfyt.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,282,$A’000,-,$A’000
PEC,PERPETUAL RESOURCES LIMITED,10364195,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1w8x1v0yqwd.pdf,June 2023 Quarterly Activities Report and Appendix 5B,"1,295",$A’000,Unused,$A’000
AUH,AUSTCHINA HOLDINGS LIMITED,10389418,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5mx37x3bpqk.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,263",$A’000,-,$A’000
CCZ,CASTILLO COPPER LIMITED,10396043,2023-07-25,https://announcements.asx.com.au/asxpdf/20230726/pdf/05ryv9xqcymjv7.pdf,Quarterly Cashflow Report - June 2023,"2,900",$A’000,Unused,$A’000
RMX,RED MOUNTAIN MINING LIMITED,10403330,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s58174x9l4zf.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,030",$A’000,-,$A’000
SIT,SITE GROUP INTERNATIONAL LIMITED,10409961,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5p8t92tm5q4.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,268,$A’000,0,$A’000
OSM,OSMOND RESOURCES LIMITED,10454847,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5jwg95xk9mx.pdf,Quarterly Activities and Cashflow Report,"4,156",$A’000,Unused,$A’000
RNX,RENEGADE EXPLORATION LIMITED,10484362,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s29b33gztbkx.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,85,$A’000,-,$A’000
TFL,TASFOODS LIMITED,10490292,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s27krk3ndj0j.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"(1,781)",$A’000,"8,566",$A’000
PRX,PRODIGY GOLD NL,10506647,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rz0f7s2s2lpc.pdf,Quarterly Activities and Cashflow Report June 2023,"6,053",$A’000,"2,381",$A’000
NOX,NOXOPHARM LIMITED,10520566,2023-07-14,https://announcements.asx.com.au/asxpdf/20230714/pdf/05rmkgbdh0sh9z.pdf,June 2023 Activities Report and Appendix 4C,"2,974",$A’000,-,$A’000
DY6,DY6 METALS LTD,10545000,2023-07-25,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rywpdtfxthh4.pdf,Quarterly Activities & Cash Flow Report,"6,727",$A’000,Unused,$A’000
KPO,KALINA POWER LIMITED,10606371,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s49b3s8byld0.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,707,$A’000,-,$A’000
NSM,NORTH STAWELL MINERALS LTD,10691303,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4md59zkbyw7.pdf,Quarterly Cashflow Report,"1,981.2",$A’000,7.5,$A’000
BVR,BELLAVISTA RESOURCES LTD,10692902,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3tn2scg8929.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,032",$A’000,-,$A’000
VPR,VOLT POWER GROUP LIMITED,10716208,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s21rp1fhkydf.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,918",$A’000,471,$A’000
LYN,LYCAON RESOURCES LTD,10726563,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2l785wd75j3.pdf,Quarterly Appendix 5B Cash Flow Report - June 2023,"2,478",$A’000,-,$A’000
LIO,LION ENERGY LIMITED,10728296,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rzkj8tgc9mdp.pdf,Quarterly Cashflow Report,"3,532",$US’000,-,$US’000
1AE,AURORA ENERGY METALS LIMITED,10743824,2023-07-24,https://announcements.asx.com.au/asxpdf/20230724/pdf/05rwst645fq3y6.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"3,554",$A’000,-,$A’000
GUL,GULLEWA LIMITED,10767521,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5lkr9kggs4n.pdf,Quarterly Cash Flow Report,"5,860",$A’000,0,$A’000
DYM,DYNAMIC METALS LIMITED,10776700,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1wtmkzv6djg.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"4,413",$A’000,-,$A’000
RWD,REWARD MINERALS LTD,10936951,2023-07-24,https://announcements.asx.com.au/asxpdf/20230724/pdf/05rx1lftx4nxq1.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,448",$A’000,"2,800",$A’000
SHE,STONEHORSE ENERGY LIMITED,10951361,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3ynb079nmnb.pdf,Quarterly Activity and Cashflow Report,"10,738",$A’000,-,$A’000
LRV,LARVOTTO RESOURCES LIMITED,10971412,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s62jkb1wbnqn.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"3,691",$A’000,-,$A’000
CNJ,CONICO LTD,10990665,2023-07-24,https://announcements.asx.com.au/asxpdf/20230724/pdf/05rwrbnj4139mb.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,736,$A’000,-,$A’000
ADD,ADAVALE RESOURCES LIMITED,11011493,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2myjrlbwvkv.pdf,Quarterly Activities and Cashflow Report,893,$A’000,"2,075",$A’000
MHK,METAL HAWK LIMITED.,11027942,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s20plvw96h1z.pdf,Quarterly Activities / Appendix 5B Cash Flow Report,933,$A’000,-,$A’000
GML,GATEWAY MINING LIMITED,11186009,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s23bk184yt0k.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,411",$A’000,Unused,$A’000
BMM,BALKAN MINING AND MINERALS LIMITED,11298323,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s52dw0jxtf5s.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,121",$A’000,-,$A’000
LNU,LINIUS TECHNOLOGIES LIMITED,11366372,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4pxkznp68ky.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,481,$A’000,-,$A’000
PVT,PIVOTAL METALS LIMITED,11436607,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1l5n2sw6r43.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"5,535",$A’000,"1,000",$A’000
XTC,XANTIPPE RESOURCES LIMITED,11480100,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5vj880mgvrc.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,968,$A’000,-,$A’000
TEE,TOP END ENERGY LIMITED,11488125,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s26z5vrg73kl.pdf,Appendix 5B,"3,627",$A’000,-,$A’000
KTA,KRAKATOA RESOURCES LIMITED,11512168,2023-07-27,https://announcements.asx.com.au/asxpdf/20230727/pdf/05s17y7jwgnmsf.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,952,$A’000,Unused,$A’000
ASR,ASRA MINERALS LIMITED,11523097,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2shs11czj60.pdf,Quarterly Activities and Cashflow Report,864,$A’000,"2,500",$A’000
