key,name,cap,document_date,url,header,cash,cash_unit,debt,debt_unit
TMG,TRIGG MINERALS LIMITED,2819385,2023-07-24,https://announcements.asx.com.au/asxpdf/20230724/pdf/05rwtr6sgbs23x.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"1,259",$A’000,-,$A’000
MOH,MOHO RESOURCES LIMITED,2855355,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5smmfghx5dw.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,385,$A’000,-,$A’000
KEY,KEY PETROLEUM LIMITED,2951892,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1jwqwfkcm0b.pdf,June 2023 Quarterly Activities Report & Appendix 5B,345,$A’000,-,$A’000
CCO,THE CALMER CO INTERNATIONAL LIMITED,2968477,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1xy5043chmp.pdf,Quarterly Activity and Cashflow Report,168,$A’000,"1,286",
YPB,YPB GROUP LTD,2973846,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1vymm6m7vmz.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,"1,036",$A’000,600,$A’000
AUE,AURUM RESOURCES LIMITED,3000000,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rzvm704tlc4j.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,"2,186",$A’000,-,$A’000
MHI,MERCHANT HOUSE INTERNATIONAL LIMITED,3016528,2023-07-25,https://announcements.asx.com.au/asxpdf/20230725/pdf/05ry48x6smj090.pdf,June 2023 Quarterly Activities and Cash Flow Report,"4,165",$A’000,172,$A’000
PKD,PARKD LTD,3054550,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5xclhgfd858.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,402,$A’000,-,$A’000
WEL,WINCHESTER ENERGY LTD,3061266,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3rd5r6nw9rp.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,358,$USD’000,-,$USD’000
RGS,REGENEUS LTD,3064369,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4t006s9ftml.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,303,$A’000,"1,947",$A’000
