key,name,cap,document_date,url,header,cash_flow,dollar_sign,debt_flow
SAN,SAGALIO ENERGY LIMITED,1841941,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5gtcg3jvpjd.pdf,Quarterly Appendix 5B Cash Flow Report,check,,check
AO1,ASSETOWL LIMITED,1947130,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5zh5tjzrrc4.pdf,Quarterly Report and Appendix 4C,48000.0,$A,561000.0
NGS,NUTRITIONAL GROWTH SOLUTIONS LTD,2019689,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5g0hhm86jwr.pdf,Quarterly Activities and Cash Flow Report - June 2023,265000.0,$US,0.0
TTA,TTA HOLDINGS LIMITED,2061351,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s202wg91bmys.pdf,Jun23 Quarterly Activities Report and 4C,201000.0,$A,0.0
CYQ,CYCLIQ GROUP LTD,2085100,2023-07-17,https://announcements.asx.com.au/asxpdf/20230717/pdf/05rq2kpv9d6s0r.pdf,Appendix 4C Cash Flow Report,check,,0.0
BGE,BRIDGE SAAS LIMITED,2156392,2023-07-26,https://announcements.asx.com.au/asxpdf/20230726/pdf/05rzlms95q94l7.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,1886000.0,$A,0.0
PRM,PROMINENCE ENERGY LIMITED,2182156,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5f8p5sb2bp2.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,748000.0,$A,check
NNG,NEXION GROUP LTD,2225386,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3sw3y6q548v.pdf,NNG Quarterly Activities Report and Appendix 4C Jun-23,364000.0,$A,check
ENV,ENOVA MINING LIMITED,2345576,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1pk6mlkftd2.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,42000.0,$A,check
M2M,MT MALCOLM MINES NL,2456244,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s46x9j8wp84v.pdf,Quarterly Activities and Cashflow Report,744000.0,$A,0.0
SMS,STAR MINERALS LIMITED,2506258,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s1qfvmf79zt8.pdf,Quarterly Activities/Appendix 5B Cash Flow Report,784000.0,$A,0.0
ICR,INTELICARE HOLDINGS LIMITED,2527415,2023-07-30,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s3r85dbk6trl.pdf,Quarterly Appendix 4C Cash Flow Report,1891000.0,$A,0.0
JTL,JAYEX TECHNOLOGY LIMITED,2531507,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s4fg0btf1js1.pdf,June 2023 Quarterly Update and Appendix 4C,94000.0,$A,1947000.0
IVT,INVENTIS LIMITED,2590306,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5db68gkgjv0.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,942000.0,$A,9472000.0
BP8,BPH GLOBAL LTD,2669460,2023-07-31,https://announcements.asx.com.au/asxpdf/20230731/pdf/05s5c1yh6s9yp2.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,511000.0,$A,0.0
ZMM,ZIMI LIMITED,2787372,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2b24bdbl14x.pdf,Quarterly Activities Report and Appendix 4C,980000.0,$A,431000.0
FFF,FORBIDDEN FOODS LIMITED,2787880,2023-07-28,https://announcements.asx.com.au/asxpdf/20230728/pdf/05s2mjcg1rj88w.pdf,Quarterly Activities/Appendix 4C Cash Flow Report,352000.0,$A,23000.0
