"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"AFA","ASF GROUP LIMITED","Financial Services","29/05/1985",43581864
"AFG","AUSTRALIAN FINANCE GROUP LTD","Financial Services","22/05/2015",447277506
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","Not Applic","30/06/1962",8670036819
"AFL","AF LEGAL GROUP LTD","Commercial & Professional Services","19/09/2003",13355441
"AFP","AFT PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","22/12/2015",356545284
"AFW","APPLYFLOW LIMITED","Media & Entertainment","30/11/2010",1922448
"AGC","AUSTRALIAN GOLD AND COPPER LTD","Materials","20/01/2021",5400000
"AGD","AUSTRAL GOLD LIMITED","Materials","18/04/1997",20818586
"AGE","ALLIGATOR ENERGY LIMITED","Energy","03/02/2011",115707163
"AGG","ANGLOGOLD ASHANTI LIMITED","Materials","16/11/1999","SUSPENDED"
"AGH","ALTHEA GROUP HOLDINGS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/09/2018",16014121
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","Consumer Services","17/12/2001",348581717
"AGL","AGL ENERGY LIMITED.","Utilities","12/10/2006",7386764618
"AGN","ARGENICA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","11/06/2021",35406296
"AGR","AGUIA RESOURCES LIMITED","Materials","13/02/2008",13449482
"AGY","ARGOSY MINERALS LIMITED","Materials","03/04/1997",533674849
"AHC","AUSTCO HEALTHCARE LIMITED","Health Care Equipment & Services","24/09/2004",50888279
"AHF","AUSTRALIAN DAIRY NUTRITIONALS LIMITED","Food, Beverage & Tobacco","30/06/2006",12358827
"AHI","ADVANCED HEALTH INTELLIGENCE LTD","Software & Services","17/08/2015",55387012
"AHK","ARK MINES LIMITED","Materials","09/05/2011",13384715
"AHL","ADRAD HOLDINGS LIMITED","Automobiles & Components","30/09/2022",72588137
"AHN","ATHENA RESOURCES LIMITED","Materials","22/11/2006",7493273
"AHQ","ALLEGIANCE COAL LIMITED","Materials","29/05/2012","SUSPENDED"
"AHX","APIAM ANIMAL HEALTH LIMITED","Health Care Equipment & Services","15/12/2015",91802777
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","Transportation","22/02/1999",11353369266
"AIB","AURORA GLOBAL INCOME TRUST","Not Applic","24/12/2007","SUSPENDED"
"AII","ALMONTY INDUSTRIES INC.","Materials","02/08/2021",144966831
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","Commercial & Professional Services","15/09/2020",54144774
"AIQ","ALTERNATIVE INVESTMENT TRUST","Not Applic","08/05/2005",42268663
"AIS","AERIS RESOURCES LIMITED","Materials","02/02/2011",314380246
"AIV","ACTIVEX LIMITED","Materials","11/04/2006",4310052
"AIZ","AIR NEW ZEALAND LIMITED","Transportation","01/10/1997",2374767343
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","Health Care Equipment & Services","19/03/2007","SUSPENDED"
"AJL","AJ LUCAS GROUP LIMITED","Capital Goods","10/08/1999",17884485
"AJQ","ARMOUR ENERGY LIMITED","Energy","26/04/2012",14764026
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","Materials","22/12/1999",8468067
"AJY","ASAPLUS RESOURCES LIMITED","Materials","16/11/2012",2720000
"AKE","ALLKEM LIMITED","Materials","04/12/2007",10017608531
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","Consumer Services","01/06/1977",53045787
"AKM","ASPIRE MINING LIMITED","Materials","06/02/2007",34519315
"AKN","AUKING MINING LIMITED","Materials","29/10/2007",9388771
"AKO","AKORA RESOURCES LIMITED","Materials","15/12/2020",14722336
"AKP","AUDIO PIXELS HOLDINGS LIMITED","Consumer Durables & Apparel","24/12/2004",380023401
"AL3","AML3D LIMITED","Capital Goods","20/04/2020",12940711
"AL8","ALDERAN RESOURCES LIMITED","Materials","09/06/2017",4316863
"ALA","AROVELLA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","24/01/2002",38245891
"ALB","ALBION RESOURCES LIMITED","Materials","30/04/2021",4503400
"ALC","ALCIDION GROUP LIMITED","Health Care Equipment & Services","24/06/2011",119198491
"ALD","AMPOL LIMITED","Energy","31/12/1980",7058508172
"ALG","ARDENT LEISURE GROUP LIMITED","Consumer Services","30/11/2018",213469177
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","Not Applic","03/07/2015",398427874
"ALK","ALKANE RESOURCES LIMITED","Materials","07/10/1980",421101821
"ALL","ARISTOCRAT LEISURE LIMITED","Consumer Services","09/07/1996",24751904009
